
1980,Reference,rcp26,rcp45,rcp60,rcp85
Agriculture,85.7142857142857,81.4285714285714,80.4761904761905,81.4285714285714,81.4285714285714,Total Usage (m3),447090860.05443,490603917.948353,491739177.548404,490550196.197335,485244661.192515,Operational Cost ($),44.709086005443,49.0603917948353,49.1739177548404,49.0550196197335,48.5244661192515
Midvale,82.1428571428571,72.3809523809524,71.4285714285714,72.1428571428571,73.0952380952381,Total Usage (m3),447090860.05443,490603917.948353,491739177.548404,490550196.197335,485244661.192515,Operational Cost ($),44.709086005443,49.0603917948353,49.1739177548404,49.0550196197335,48.5244661192515
Murray,93.5714285714286,82.6190476190476,82.3809523809524,82.8571428571429,84.0476190476191,Total Usage (m3),447090860.05443,490603917.948353,491739177.548404,490550196.197335,485244661.192515,Operational Cost ($),44.709086005443,49.0603917948353,49.1739177548404,49.0550196197335,48.5244661192515
Salt Lake City,93.5714285714286,82.6190476190476,82.3809523809524,82.8571428571429,84.0476190476191,Total Usage (m3),447090860.05443,490603917.948353,491739177.548404,490550196.197335,485244661.192515,Operational Cost ($),44.709086005443,49.0603917948353,49.1739177548404,49.0550196197335,48.5244661192515

1981,Reference,rcp26,rcp45,rcp60,rcp85
Agriculture,90.7142857142857,86.6666666666667,85.9523809523809,86.6666666666667,86.9047619047619,Total Usage (m3),699282602.645902,773472682.5303,775658873.702186,774302805.568226,772601474.534234,Operational Cost ($),69.9282602645902,77.34726825303,77.5658873702186,77.4302805568226,77.2601474534234
Midvale,90.2380952380952,85.2380952380952,84.2857142857143,84.7619047619048,85.9523809523809,Total Usage (m3),699282602.645902,773472682.5303,775658873.702186,774302805.568226,772601474.534234,Operational Cost ($),69.9282602645902,77.34726825303,77.5658873702186,77.4302805568226,77.2601474534234
Murray,99.2857142857143,99.0476190476191,99.0476190476191,99.0476190476191,99.7619047619048,Total Usage (m3),699282602.645902,773472682.5303,775658873.702186,774302805.568226,772601474.534234,Operational Cost ($),69.9282602645902,77.34726825303,77.5658873702186,77.4302805568226,77.2601474534234
Salt Lake City,99.2857142857143,99.0476190476191,99.0476190476191,99.0476190476191,99.7619047619048,Total Usage (m3),699282602.645902,773472682.5303,775658873.702186,774302805.568226,772601474.534234,Operational Cost ($),69.9282602645902,77.34726825303,77.5658873702186,77.4302805568226,77.2601474534234

1982,Reference,rcp26,rcp45,rcp60,rcp85
Agriculture,90.4761904761905,86.1904761904762,85.4761904761905,86.1904761904762,86.4285714285714,Total Usage (m3),691961323.376878,760648394.265675,762834585.437561,761478517.303601,759777186.269609,Operational Cost ($),69.1961323376878,76.0648394265675,76.2834585437561,76.1478517303601,75.9777186269609
Midvale,90,84.0476190476191,83.0952380952381,83.5714285714286,84.7619047619048,Total Usage (m3),691961323.376878,760648394.265675,762834585.437561,761478517.303601,759777186.269609,Operational Cost ($),69.1961323376878,76.0648394265675,76.2834585437561,76.1478517303601,75.9777186269609
Murray,99.2857142857143,97.3809523809524,97.3809523809524,97.3809523809524,98.0952380952381,Total Usage (m3),691961323.376878,760648394.265675,762834585.437561,761478517.303601,759777186.269609,Operational Cost ($),69.1961323376878,76.0648394265675,76.2834585437561,76.1478517303601,75.9777186269609
Salt Lake City,99.2857142857143,97.3809523809524,97.3809523809524,97.3809523809524,98.0952380952381,Total Usage (m3),691961323.376878,760648394.265675,762834585.437561,761478517.303601,759777186.269609,Operational Cost ($),69.1961323376878,76.0648394265675,76.2834585437561,76.1478517303601,75.9777186269609

1983,Reference,rcp26,rcp45,rcp60,rcp85
Agriculture,90.4761904761905,86.1904761904762,85.4761904761905,86.1904761904762,86.4285714285714,Total Usage (m3),687041341.875078,747555427.248621,749741618.420508,748385550.286547,746684219.252556,Operational Cost ($),68.7041341875078,74.7555427248621,74.9741618420508,74.8385550286547,74.6684219252556
Midvale,90,82.6190476190476,81.6666666666667,82.1428571428571,83.3333333333333,Total Usage (m3),687041341.875078,747555427.248621,749741618.420508,748385550.286547,746684219.252556,Operational Cost ($),68.7041341875078,74.7555427248621,74.9741618420508,74.8385550286547,74.6684219252556
Murray,99.2857142857143,94.5238095238095,94.5238095238095,94.5238095238095,95.2380952380952,Total Usage (m3),687041341.875078,747555427.248621,749741618.420508,748385550.286547,746684219.252556,Operational Cost ($),68.7041341875078,74.7555427248621,74.9741618420508,74.8385550286547,74.6684219252556
Salt Lake City,99.2857142857143,94.5238095238095,94.5238095238095,94.5238095238095,95.2380952380952,Total Usage (m3),687041341.875078,747555427.248621,749741618.420508,748385550.286547,746684219.252556,Operational Cost ($),68.7041341875078,74.7555427248621,74.9741618420508,74.8385550286547,74.6684219252556

1984,Reference,rcp26,rcp45,rcp60,rcp85
Agriculture,90.4761904761905,86.1904761904762,85.4761904761905,86.1904761904762,86.4285714285714,Total Usage (m3),682121493.875078,734187826.697653,736374017.869539,735017949.735579,733316618.701587,Operational Cost ($),68.2121493875078,73.4187826697653,73.6374017869539,73.5017949735579,73.3316618701587
Midvale,90,81.1904761904762,80.2380952380952,80.7142857142857,81.9047619047619,Total Usage (m3),682121493.875078,734187826.697653,736374017.869539,735017949.735579,733316618.701587,Operational Cost ($),68.2121493875078,73.4187826697653,73.6374017869539,73.5017949735579,73.3316618701587
Murray,99.2857142857143,91.6666666666667,91.6666666666667,91.6666666666667,92.3809523809524,Total Usage (m3),682121493.875078,734187826.697653,736374017.869539,735017949.735579,733316618.701587,Operational Cost ($),68.2121493875078,73.4187826697653,73.6374017869539,73.5017949735579,73.3316618701587
